ID(0)	Property(1)	原文(2)	統制ラベル(3)	対象ID(4)	英語ラベル(5)	絶対時間(6)	Type(7)	担当
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）	ジュリアの寝室			bedroom of Julia			川村
	When（いつ）	夜11時			death day of Julia	1881-12-01T23		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
58	対象文	ジュリアは口笛を聴く			Julia listens to the whistle			川村
	Type							川村
	情報源							川村
	hasPredicate	聞く			hear			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	夜3時ごろ				1881-11-30T03		川村
	What（何を）	口笛			whistle		Object	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文	ジュリアは口笛で目を覚ます	then	59	Julia wakes up by whistling			川村
59	対象文	ジュリアは口笛で目を覚ます			Julia wakes up by whistling			川村
	Type							川村
	情報源							川村
	hasPredicate	起きる			wakeUp			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-11-30T03		川村
	What（何を）							川村
	Why（なぜ）	ジュリアは口笛を聴く		58	Julia listens to the whistle			川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文	ジュリアは口笛を聴く	because	58	Julia listens to the whistle			川村
60	対象文	ヘレンは口笛を聴かない			Helen does not listen whistle			川村
	Type							川村
	情報源							川村
	hasPredicate	not聞く			notHear			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-11-30T03		川村
	What（何を）	口笛			whistle			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文	ヘレンは安眠している	therefore	61	Helen is sleeping			川村
61	対象文	ヘレンは安眠している			Helen is sleeping			川村
	Type							川村
	情報源							川村
	hasPredicate	寝る			sleep			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-11-30T03		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）	ぐっすりと			deeply			川村
	その他の修飾							川村
	関連する文							川村
62	対象文	口笛はロイロットの寝室 OR 庭 OR ヘレンの寝室から聞こえる			Whistle can be heard from the bedroom of Roylott's bedroom OR garden OR Helen			川村
	Type							川村
	情報源							川村
	hasPredicate	聞く			hear			川村
	主語/Who（誰が）	人			man			川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの寝室 OR 庭 OR ヘレンの寝室			bedroom of Roylott OR garden of Roylott OR bedroom of Helen			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-11-30T03		川村
	What（何を）	口笛			whistle			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
63	対象文	口笛はロマが庭で吹いている（ヘレン想像）			The whistle is blowing in the garden by Roma (Helen imagination)			川村
	Type							川村
	情報源	〇〇の考え	ヘレン		Idea of Helen			川村
	hasPredicate	吹く			have			川村
	主語/Who（誰が）	ロマ			Roma			川村
	Whom（誰に）							川村
	Where（どこで）	庭			garden of Roylott			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-11-30T03		川村
	What（何を）	口笛			whistle			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
64	対象文	ジュリアは部屋をロックした			Julia locked the bedroom			川村
	Type							川村
	情報源							川村
	hasPredicate	ロックする			lock			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				death day of Julia	1881-12-02T00	AbstractTime	川村
	What（何を）	ジュリアの寝室			bedroom of Julia			川村
	Why（なぜ）	インドの動物			animal of India			川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
65	対象文	事件当夜，ヘレンは寝ていなかった			Helen was not sleeping on death day of Julia			川村
	Type							川村
	情報源							川村
	hasPredicate	not寝る			notSleep			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	ジュリアの死亡日			death day of Julia	1881-12-02T00	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		then	67				川村
66	対象文	事件当夜，嵐が吹いていた			The storm was blowing on death day of Julia			川村
	Type							川村
	情報源							川村
	hasPredicate	吹く			exist			川村
	主語/Who（誰が）	嵐			storm		Object	川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	ジュリアの死亡日			death day of Julia	1881-12-02T00	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
67	対象文	事件当夜，ジュリアの声が聞こえた			Julia's voice was heard on death day of Julia			川村
	Type							川村
	情報源							川村
	hasPredicate	聞く			hear			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）	ヘレンの寝室			bedroom of Helen			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	ジュリアの死亡日			death day of Julia	1881-12-02T00	AbstractTime	川村
	What（何を）	ジュリアの声			voice of Julia		Object	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		then	68				川村
68	対象文	事件当夜，ヘレンは廊下で口笛を聞いた			Helen heard whistle in the corridor on death day of Julia			川村
	Type							川村
	情報源							川村
	hasPredicate	聞く			hear			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）	廊下			corridor			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	ジュリアの死亡日			death day of Julia	1881-12-02T00	AbstractTime	川村
	What（何を）	口笛			whistle			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		then	69				川村
69	対象文	事件当夜，ヘレンは金属音を聞いた			Helen heard the metal sound on death day of Julia			川村
	Type							川村
	情報源							川村
	hasPredicate	聞く			hear			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）	廊下			corridor			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	ジュリアの死亡日			death day of Julia	1881-12-02T00	AbstractTime	川村
	What（何を）	金属音			metallic sound		Object	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		then	70				川村
70	対象文	事件当夜，ジュリアが鍵を開けた			Julia opened the key on death day of Julia			川村
	Type							川村
	情報源							川村
	hasPredicate	notロックする			not Lock			川村
	主語/Who（誰が）	ジュリア			Julia			川村
